o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
78,18259,P,190132.72,19931009,3-MEDIUM,Clerk#40,0,Order 78 comment
79,43514,F,153308.8,19920505,1-URGENT,Clerk#34,1,Order 79 comment
80,12904,P,431270.54,19920101,5-LOW,Clerk#38,1,Order 80 comment
81,36810,P,248379.75,19951202,5-LOW,Clerk#9,0,Order 81 comment
82,39958,O,27307.81,19960922,5-LOW,Clerk#92,0,Order 82 comment
83,16355,P,235257.08,19941014,1-URGENT,Clerk#87,0,Order 83 comment
84,47812,O,18640.06,19970228,2-HIGH,Clerk#97,0,Order 84 comment
85,27819,F,140905.21,19981112,5-LOW,Clerk#13,0,Order 85 comment
86,13697,P,329978.87,19930712,3-MEDIUM,Clerk#24,1,Order 86 comment
87,25135,O,111445.74,19980917,4-NOT SPECIFIED,Clerk#63,1,Order 87 comment
88,19285,O,389074.52,19971021,3-MEDIUM,Clerk#69,0,Order 88 comment
89,11374,O,142223.31,19920208,5-LOW,Clerk#1,1,Order 89 comment
90,3769,O,62836.89,19951002,5-LOW,Clerk#5,0,Order 90 comment
91,45353,O,429332.5,19980914,5-LOW,Clerk#85,0,Order 91 comment
92,2343,F,418108.2,19980122,5-LOW,Clerk#12,1,Order 92 comment
93,11057,P,168891.82,19930424,3-MEDIUM,Clerk#64,0,Order 93 comment
94,49383,F,201993.4,19921217,5-LOW,Clerk#9,0,Order 94 comment
95,36320,P,6445.48,19920203,4-NOT SPECIFIED,Clerk#20,1,Order 95 comment
96,44018,P,102268.35,19960115,1-URGENT,Clerk#25,1,Order 96 comment
97,21004,O,425251.68,19940802,1-URGENT,Clerk#78,1,Order 97 comment
98,20618,O,6819.48,19920914,4-NOT SPECIFIED,Clerk#19,0,Order 98 comment
99,12150,O,426626.38,19940706,4-NOT SPECIFIED,Clerk#70,1,Order 99 comment
100,152,F,215183.31,19960302,5-LOW,Clerk#23,0,Order 100 comment
101,35424,P,80372.99,19970212,5-LOW,Clerk#72,1,Order 101 comment
102,32507,P,242924.59,19940817,5-LOW,Clerk#58,1,Order 102 comment
103,32113,P,373541.43,19920307,1-URGENT,Clerk#77,1,Order 103 comment
104,18971,O,476744.52,19940706,3-MEDIUM,Clerk#17,1,Order 104 comment
105,33759,F,48032.0,19920428,3-MEDIUM,Clerk#88,1,Order 105 comment
106,39606,F,260077.8,19980624,2-HIGH,Clerk#72,1,Order 106 comment
107,2035,O,253758.28,19920313,5-LOW,Clerk#94,0,Order 107 comment
108,19344,P,320170.15,19960427,1-URGENT,Clerk#70,0,Order 108 comment
109,21610,P,274849.74,19960201,1-URGENT,Clerk#24,0,Order 109 comment
110,19198,O,58538.99,19950627,4-NOT SPECIFIED,Clerk#50,0,Order 110 comment
111,33641,P,279387.73,19971008,4-NOT SPECIFIED,Clerk#72,0,Order 111 comment
112,6822,O,276848.89,19960208,1-URGENT,Clerk#97,0,Order 112 comment
113,49796,P,303589.83,19920705,5-LOW,Clerk#82,0,Order 113 comment
114,12518,F,322264.35,19941012,5-LOW,Clerk#37,0,Order 114 comment
115,24184,F,293038.78,19981213,5-LOW,Clerk#72,0,Order 115 comment
116,28047,F,226188.29,19960525,4-NOT SPECIFIED,Clerk#92,0,Order 116 comment
117,23881,F,6398.29,19970818,2-HIGH,Clerk#10,1,Order 117 comment
118,16427,O,33899.22,19950215,2-HIGH,Clerk#78,0,Order 118 comment
119,27035,O,188829.6,19970114,5-LOW,Clerk#92,0,Order 119 comment
120,43464,F,296625.14,19930829,1-URGENT,Clerk#47,1,Order 120 comment
121,14471,P,27442.36,19920606,4-NOT SPECIFIED,Clerk#92,0,Order 121 comment
122,6121,P,306939.14,19940121,4-NOT SPECIFIED,Clerk#32,0,Order 122 comment
123,38528,F,356675.96,19920601,4-NOT SPECIFIED,Clerk#51,0,Order 123 comment
124,42533,P,118512.21,19970926,5-LOW,Clerk#67,0,Order 124 comment
125,47333,F,285278.78,19961101,1-URGENT,Clerk#53,1,Order 125 comment
126,11718,F,494677.0,19950908,2-HIGH,Clerk#20,0,Order 126 comment
127,42021,P,276469.5,19940420,4-NOT SPECIFIED,Clerk#32,0,Order 127 comment
128,33572,F,211639.48,19980718,5-LOW,Clerk#38,1,Order 128 comment
129,44778,F,270101.05,19970216,5-LOW,Clerk#45,1,Order 129 comment
130,33829,P,275062.19,19920711,2-HIGH,Clerk#28,0,Order 130 comment
131,6670,O,378521.83,19981212,3-MEDIUM,Clerk#83,1,Order 131 comment
132,38412,O,494210.12,19960525,2-HIGH,Clerk#100,1,Order 132 comment
133,30309,F,232369.14,19921002,5-LOW,Clerk#41,0,Order 133 comment
134,30697,O,225512.55,19961203,4-NOT SPECIFIED,Clerk#63,0,Order 134 comment
135,48209,O,499262.77,19960325,5-LOW,Clerk#30,0,Order 135 comment
136,29545,O,73247.1,19930307,4-NOT SPECIFIED,Clerk#57,1,Order 136 comment
137,49188,F,215121.72,19940523,3-MEDIUM,Clerk#40,1,Order 137 comment
138,3665,O,140877.02,19970105,5-LOW,Clerk#17,0,Order 138 comment
139,46474,F,41964.95,19940427,3-MEDIUM,Clerk#46,0,Order 139 comment
140,13357,F,80813.92,19970721,5-LOW,Clerk#56,0,Order 140 comment
141,21422,P,357438.6,19961030,4-NOT SPECIFIED,Clerk#37,0,Order 141 comment
142,32546,P,235505.04,19941107,1-URGENT,Clerk#77,1,Order 142 comment
143,35874,F,158657.17,19971125,1-URGENT,Clerk#23,1,Order 143 comment
144,45854,O,452145.53,19930102,3-MEDIUM,Clerk#84,1,Order 144 comment
145,35435,P,152602.57,19941106,1-URGENT,Clerk#75,0,Order 145 comment
146,1112,F,314055.95,19951209,1-URGENT,Clerk#70,1,Order 146 comment
147,18460,P,324690.29,19930811,2-HIGH,Clerk#94,0,Order 147 comment
148,27872,F,317741.18,19930822,1-URGENT,Clerk#89,1,Order 148 comment
149,26958,O,148177.43,19960802,3-MEDIUM,Clerk#1,1,Order 149 comment
150,506,O,308439.79,19961211,1-URGENT,Clerk#82,0,Order 150 comment
151,46012,F,267504.59,19950111,1-URGENT,Clerk#62,0,Order 151 comment
152,18454,P,397261.77,19920929,4-NOT SPECIFIED,Clerk#41,0,Order 152 comment
153,47019,O,205118.16,19960415,1-URGENT,Clerk#46,0,Order 153 comment
154,1079,O,355048.37,19941222,4-NOT SPECIFIED,Clerk#60,1,Order 154 comment
155,13703,F,175804.07,19960313,3-MEDIUM,Clerk#49,0,Order 155 comment
156,20821,F,413922.68,19980801,5-LOW,Clerk#91,1,Order 156 comment
157,1715,P,14764.88,19970128,5-LOW,Clerk#66,0,Order 157 comment
158,16512,F,444811.03,19950920,2-HIGH,Clerk#98,0,Order 158 comment
159,30671,F,389263.7,19980706,1-URGENT,Clerk#37,1,Order 159 comment
160,33642,F,267793.08,19950303,3-MEDIUM,Clerk#64,1,Order 160 comment
161,33678,F,168144.6,19931121,3-MEDIUM,Clerk#28,1,Order 161 comment
162,10094,F,474436.48,19980203,3-MEDIUM,Clerk#41,1,Order 162 comment
163,40616,F,26494.47,19981219,1-URGENT,Clerk#9,0,Order 163 comment
164,30741,F,80255.27,19981031,2-HIGH,Clerk#15,1,Order 164 comment
165,21876,F,399892.45,19940302,5-LOW,Clerk#80,1,Order 165 comment
166,20406,F,284020.45,19920912,3-MEDIUM,Clerk#37,1,Order 166 comment
167,24154,F,321662.94,19950219,5-LOW,Clerk#27,0,Order 167 comment
168,8438,P,144288.71,19980609,3-MEDIUM,Clerk#64,1,Order 168 comment
169,2203,O,358121.03,19980811,5-LOW,Clerk#83,1,Order 169 comment
170,846,O,1167.59,19971213,4-NOT SPECIFIED,Clerk#47,0,Order 170 comment
171,42686,P,463116.76,19981226,3-MEDIUM,Clerk#86,0,Order 171 comment
172,39063,F,16670.91,19960911,2-HIGH,Clerk#70,1,Order 172 comment
173,46548,F,363834.1,19950323,5-LOW,Clerk#92,1,Order 173 comment
174,16560,F,92724.9,19940914,4-NOT SPECIFIED,Clerk#45,0,Order 174 comment
175,1492,P,294154.34,19950410,5-LOW,Clerk#20,0,Order 175 comment
176,24480,O,173354.24,19970610,4-NOT SPECIFIED,Clerk#28,1,Order 176 comment
177,23860,P,499230.31,19920916,1-URGENT,Clerk#13,1,Order 177 comment
178,23254,O,309673.58,19951021,1-URGENT,Clerk#34,1,Order 178 comment
179,35557,F,275759.7,19930816,5-LOW,Clerk#3,1,Order 179 comment
180,37945,O,170989.55,19950629,4-NOT SPECIFIED,Clerk#79,1,Order 180 comment
181,42732,F,262694.83,19930907,5-LOW,Clerk#17,0,Order 181 comment
182,40746,P,84120.02,19941125,1-URGENT,Clerk#41,0,Order 182 comment
183,3447,P,310003.73,19971211,5-LOW,Clerk#100,1,Order 183 comment
184,49560,F,38353.51,19970904,2-HIGH,Clerk#96,1,Order 184 comment
185,40849,O,305597.77,19920311,4-NOT SPECIFIED,Clerk#86,1,Order 185 comment
186,32092,O,166461.1,19941123,2-HIGH,Clerk#87,1,Order 186 comment
187,16603,F,183366.97,19951006,2-HIGH,Clerk#36,0,Order 187 comment
188,22374,O,413396.93,19940710,1-URGENT,Clerk#6,0,Order 188 comment
189,22419,F,70716.49,19961117,2-HIGH,Clerk#94,0,Order 189 comment
190,34896,F,270346.9,19921203,2-HIGH,Clerk#24,1,Order 190 comment
191,29017,F,169237.66,19960822,4-NOT SPECIFIED,Clerk#28,0,Order 191 comment
192,44583,F,334745.14,19921029,4-NOT SPECIFIED,Clerk#44,1,Order 192 comment
193,23541,P,338870.82,19970624,3-MEDIUM,Clerk#72,1,Order 193 comment
194,26325,P,77785.37,19960908,1-URGENT,Clerk#40,0,Order 194 comment
195,16491,O,155615.25,19960810,2-HIGH,Clerk#47,0,Order 195 comment
196,11141,P,320259.61,19940107,1-URGENT,Clerk#31,1,Order 196 comment
197,35684,P,14963.09,19940223,2-HIGH,Clerk#38,0,Order 197 comment
198,18122,P,398560.08,19950624,5-LOW,Clerk#58,0,Order 198 comment
199,6570,F,168153.1,19921118,1-URGENT,Clerk#9,1,Order 199 comment
200,14789,P,20343.82,19980714,2-HIGH,Clerk#39,1,Order 200 comment
201,6149,F,488760.48,19940919,1-URGENT,Clerk#83,1,Order 201 comment
202,990,F,228648.2,19940608,5-LOW,Clerk#69,1,Order 202 comment
203,7641,O,417116.14,19930624,2-HIGH,Clerk#45,0,Order 203 comment
204,35242,P,213985.36,19970320,4-NOT SPECIFIED,Clerk#39,0,Order 204 comment
205,2302,F,150858.09,19941201,5-LOW,Clerk#71,1,Order 205 comment
206,23721,F,205353.18,19930827,4-NOT SPECIFIED,Clerk#73,1,Order 206 comment
207,29584,F,120546.49,19970225,5-LOW,Clerk#9,0,Order 207 comment
208,24800,P,216824.44,19981117,4-NOT SPECIFIED,Clerk#99,0,Order 208 comment
209,3419,O,479594.2,19960325,1-URGENT,Clerk#20,1,Order 209 comment
210,10328,F,271828.46,19950526,1-URGENT,Clerk#22,0,Order 210 comment
211,34870,O,240370.59,19970710,5-LOW,Clerk#81,0,Order 211 comment
212,2443,O,208903.16,19971211,3-MEDIUM,Clerk#19,1,Order 212 comment
213,44408,O,397336.33,19960225,2-HIGH,Clerk#37,0,Order 213 comment
214,40598,P,273293.13,19920322,5-LOW,Clerk#13,1,Order 214 comment
215,43880,P,142240.99,19940123,5-LOW,Clerk#100,0,Order 215 comment
216,16991,F,476533.67,19970625,3-MEDIUM,Clerk#47,0,Order 216 comment
217,45517,P,81675.26,19940322,5-LOW,Clerk#65,1,Order 217 comment
218,973,O,356676.63,19920818,1-URGENT,Clerk#26,0,Order 218 comment
219,29631,P,35742.63,19930920,3-MEDIUM,Clerk#82,1,Order 219 comment
220,35550,F,371564.23,19980608,1-URGENT,Clerk#87,1,Order 220 comment
221,17502,F,127893.77,19950408,1-URGENT,Clerk#35,1,Order 221 comment
222,15502,F,268021.28,19941123,2-HIGH,Clerk#43,1,Order 222 comment
223,29133,O,460817.24,19920329,3-MEDIUM,Clerk#81,0,Order 223 comment
224,35640,O,297515.41,19920407,1-URGENT,Clerk#75,0,Order 224 comment
225,17118,F,242262.64,19960928,2-HIGH,Clerk#66,0,Order 225 comment
226,21631,F,335976.57,19980904,2-HIGH,Clerk#75,1,Order 226 comment
227,14106,P,375734.33,19980109,3-MEDIUM,Clerk#94,0,Order 227 comment
228,46696,F,433896.57,19940612,1-URGENT,Clerk#40,1,Order 228 comment
229,32247,O,161784.9,19940727,1-URGENT,Clerk#86,0,Order 229 comment
230,42712,F,326917.11,19940108,3-MEDIUM,Clerk#59,0,Order 230 comment
231,17417,P,451139.46,19931018,2-HIGH,Clerk#57,0,Order 231 comment
232,19093,P,225755.93,19980912,1-URGENT,Clerk#80,1,Order 232 comment
233,40255,O,478063.05,19940726,4-NOT SPECIFIED,Clerk#48,1,Order 233 comment
234,18434,F,197549.45,19960828,4-NOT SPECIFIED,Clerk#79,1,Order 234 comment
235,5712,P,78754.37,19941113,4-NOT SPECIFIED,Clerk#27,1,Order 235 comment
236,48789,F,53326.77,19970905,1-URGENT,Clerk#97,1,Order 236 comment
237,16516,P,52180.06,19950409,1-URGENT,Clerk#59,0,Order 237 comment
238,19586,O,86062.19,19980408,3-MEDIUM,Clerk#6,0,Order 238 comment
239,19084,O,151109.51,19931208,4-NOT SPECIFIED,Clerk#40,0,Order 239 comment
240,1523,O,315876.46,19941228,2-HIGH,Clerk#63,1,Order 240 comment
241,44834,F,463470.41,19970901,4-NOT SPECIFIED,Clerk#78,1,Order 241 comment
242,17670,F,339248.71,19970219,5-LOW,Clerk#2,1,Order 242 comment
243,10407,F,311578.72,19921019,1-URGENT,Clerk#90,1,Order 243 comment
244,45300,O,295245.84,19950326,3-MEDIUM,Clerk#41,1,Order 244 comment
245,161,P,318056.69,19940817,5-LOW,Clerk#57,0,Order 245 comment
246,15104,O,312904.35,19940122,4-NOT SPECIFIED,Clerk#19,1,Order 246 comment
247,36599,P,333924.96,19960501,3-MEDIUM,Clerk#33,1,Order 247 comment
248,45635,F,368168.26,19960203,3-MEDIUM,Clerk#64,1,Order 248 comment
249,35497,F,211506.5,19960210,1-URGENT,Clerk#50,0,Order 249 comment
250,28212,P,446904.06,19920207,1-URGENT,Clerk#9,0,Order 250 comment
251,18857,P,23657.81,19980727,5-LOW,Clerk#96,0,Order 251 comment
252,42958,P,437224.24,19980523,1-URGENT,Clerk#37,0,Order 252 comment
253,28463,O,139700.26,19930210,2-HIGH,Clerk#44,1,Order 253 comment
254,21102,F,20335.74,19931124,4-NOT SPECIFIED,Clerk#58,1,Order 254 comment
255,27108,F,475913.41,19950723,1-URGENT,Clerk#64,0,Order 255 comment
256,49247,O,429739.28,19980805,3-MEDIUM,Clerk#78,0,Order 256 comment
257,8182,P,99827.9,19950425,4-NOT SPECIFIED,Clerk#3,0,Order 257 comment
258,19297,P,403797.4,19930724,5-LOW,Clerk#45,1,Order 258 comment
259,4518,O,106037.0,19950101,2-HIGH,Clerk#14,1,Order 259 comment
260,44035,P,165089.05,19940915,3-MEDIUM,Clerk#56,1,Order 260 comment
261,42213,P,233846.06,19960519,2-HIGH,Clerk#99,1,Order 261 comment
262,40932,F,40537.37,19951122,1-URGENT,Clerk#45,0,Order 262 comment
263,2763,F,477715.67,19940319,4-NOT SPECIFIED,Clerk#95,0,Order 263 comment
264,31698,F,9899.0,19950113,2-HIGH,Clerk#94,1,Order 264 comment
265,22703,O,431521.37,19920217,2-HIGH,Clerk#48,0,Order 265 comment
266,26168,F,463374.59,19950824,2-HIGH,Clerk#36,1,Order 266 comment
267,22374,F,80585.4,19970216,4-NOT SPECIFIED,Clerk#89,0,Order 267 comment
268,21129,P,273364.91,19981106,5-LOW,Clerk#63,0,Order 268 comment
269,18746,P,172012.55,19950817,1-URGENT,Clerk#92,0,Order 269 comment
270,41649,F,418317.54,19980704,2-HIGH,Clerk#100,0,Order 270 comment
271,5716,P,394262.12,19960521,2-HIGH,Clerk#67,1,Order 271 comment
272,24145,O,177405.01,19951229,3-MEDIUM,Clerk#50,0,Order 272 comment
273,24984,F,340823.34,19970912,1-URGENT,Clerk#58,0,Order 273 comment
274,39087,F,380955.4,19980206,5-LOW,Clerk#22,1,Order 274 comment
275,6439,P,466391.24,19941128,1-URGENT,Clerk#56,1,Order 275 comment
276,35382,P,449103.21,19920427,4-NOT SPECIFIED,Clerk#67,0,Order 276 comment
277,21731,F,490365.26,19940121,1-URGENT,Clerk#44,0,Order 277 comment
278,24821,F,431671.45,19950113,1-URGENT,Clerk#18,1,Order 278 comment
279,16645,F,92754.0,19930301,1-URGENT,Clerk#86,1,Order 279 comment
280,33788,O,32104.68,19960417,4-NOT SPECIFIED,Clerk#77,1,Order 280 comment
281,33345,O,391484.12,19980725,1-URGENT,Clerk#70,1,Order 281 comment
282,35381,P,25213.31,19980922,5-LOW,Clerk#86,1,Order 282 comment
283,4622,O,279643.29,19980119,4-NOT SPECIFIED,Clerk#1,1,Order 283 comment
284,24091,F,151366.57,19940815,4-NOT SPECIFIED,Clerk#91,0,Order 284 comment
285,36318,P,196460.95,19950212,1-URGENT,Clerk#70,0,Order 285 comment
286,27258,O,464161.81,19981202,3-MEDIUM,Clerk#24,0,Order 286 comment
287,30501,P,63841.67,19920615,2-HIGH,Clerk#26,1,Order 287 comment
288,24894,O,448654.16,19921221,5-LOW,Clerk#67,0,Order 288 comment
289,20660,P,463213.68,19970525,2-HIGH,Clerk#38,1,Order 289 comment
290,17189,F,109449.04,19920906,1-URGENT,Clerk#54,1,Order 290 comment
291,31729,P,445852.21,19960903,2-HIGH,Clerk#9,1,Order 291 comment
292,10025,O,473725.86,19970412,2-HIGH,Clerk#100,1,Order 292 comment
293,26970,O,210658.45,19950609,2-HIGH,Clerk#99,1,Order 293 comment
294,34655,P,298161.53,19940209,5-LOW,Clerk#36,1,Order 294 comment
295,41756,F,120526.16,19931225,5-LOW,Clerk#10,1,Order 295 comment
296,19216,O,85575.14,19970723,4-NOT SPECIFIED,Clerk#60,1,Order 296 comment
297,7763,F,210863.43,19970916,3-MEDIUM,Clerk#19,1,Order 297 comment
298,26213,O,93890.28,19980531,5-LOW,Clerk#8,0,Order 298 comment
299,49282,P,352666.18,19930324,1-URGENT,Clerk#88,0,Order 299 comment
300,8102,F,329821.03,19940705,3-MEDIUM,Clerk#81,1,Order 300 comment
301,36222,F,54524.53,19921205,3-MEDIUM,Clerk#18,1,Order 301 comment
302,33036,O,134042.63,19970714,3-MEDIUM,Clerk#52,0,Order 302 comment
303,42072,P,47883.73,19950519,4-NOT SPECIFIED,Clerk#91,1,Order 303 comment
304,45584,O,89263.89,19931110,4-NOT SPECIFIED,Clerk#93,0,Order 304 comment
305,45466,P,145636.84,19970827,5-LOW,Clerk#87,1,Order 305 comment
306,24646,P,409526.92,19960102,2-HIGH,Clerk#45,1,Order 306 comment
307,44221,P,383164.42,19951110,3-MEDIUM,Clerk#21,0,Order 307 comment
308,5798,O,165798.33,19920730,5-LOW,Clerk#90,0,Order 308 comment
309,1448,O,276916.73,19930218,3-MEDIUM,Clerk#22,1,Order 309 comment
310,30253,P,60054.82,19920626,2-HIGH,Clerk#88,0,Order 310 comment
311,19348,O,281235.47,19970729,3-MEDIUM,Clerk#73,1,Order 311 comment
312,3012,O,481899.68,19920211,2-HIGH,Clerk#2,0,Order 312 comment
313,35961,O,438400.2,19960205,5-LOW,Clerk#57,0,Order 313 comment
314,27296,P,403782.72,19980729,1-URGENT,Clerk#5,0,Order 314 comment
315,14703,P,315675.2,19970817,1-URGENT,Clerk#73,0,Order 315 comment
316,45864,O,18139.59,19980822,3-MEDIUM,Clerk#40,1,Order 316 comment
317,38418,O,341514.92,19980207,2-HIGH,Clerk#88,0,Order 317 comment
318,19693,P,197688.54,19940122,2-HIGH,Clerk#26,0,Order 318 comment
319,45265,O,277888.14,19920110,1-URGENT,Clerk#100,1,Order 319 comment
320,26296,F,261305.28,19970220,2-HIGH,Clerk#32,0,Order 320 comment
321,30171,P,329771.77,19940714,4-NOT SPECIFIED,Clerk#24,1,Order 321 comment
322,45134,O,128154.79,19960628,5-LOW,Clerk#99,1,Order 322 comment
323,48628,O,287445.17,19970321,3-MEDIUM,Clerk#4,1,Order 323 comment
324,21839,F,401021.9,19951120,4-NOT SPECIFIED,Clerk#8,1,Order 324 comment
325,28855,P,165396.67,19940915,5-LOW,Clerk#11,1,Order 325 comment
326,25602,P,114367.51,19921103,4-NOT SPECIFIED,Clerk#44,1,Order 326 comment
327,9429,P,423690.73,19980923,2-HIGH,Clerk#95,0,Order 327 comment
328,25381,P,497058.31,19920123,4-NOT SPECIFIED,Clerk#4,1,Order 328 comment
329,14041,P,97012.11,19980120,2-HIGH,Clerk#34,0,Order 329 comment
330,2610,F,38899.56,19940129,4-NOT SPECIFIED,Clerk#31,0,Order 330 comment
331,24513,P,342487.84,19930720,5-LOW,Clerk#22,1,Order 331 comment
332,11721,F,395206.0,19920802,1-URGENT,Clerk#41,0,Order 332 comment
333,26143,F,496207.16,19940323,4-NOT SPECIFIED,Clerk#97,0,Order 333 comment
334,42371,O,214356.85,19940227,2-HIGH,Clerk#84,0,Order 334 comment
335,48491,O,356144.48,19980530,4-NOT SPECIFIED,Clerk#52,1,Order 335 comment
